flavor_aroma_description,flavor_aroma_id
Fruity,0
Berry,1
Strawberry,2
Raspberry,3
Blueberry,4
Blackberry,5
Dried Fruit,6
Raisin,7
Prune,8
Apple,9
Pear,10
Peach,11
Grape,12
Cherry,13
Pomegranate,14
Coconut,15
Pineapple,16
Citrus fruit,17
Lemon,18
Grapefruit,19
Orange,20
Lime,21
Alcohol,22
Whiskey,23
Winey,24
Fermented,25
Olive Oil,26
Raw,27
Under–ripe,28
Peapod,29
Green,30
Fresh,31
Dark Green,32
Vegetative,33
Hay-like,34
Herb-like,35
Beany,36
Musty/earthy,37
Musty/dusty,38
Moldy/damp,39
Phenolic,40
Animalic,41
Meaty/brothy,42
Woody,43
Tobacco,44
Pipe tobacco,45
Acrid,46
Ashy,47
Burnt,48
Smoky,49
Roasted,50
Brown,51
Floral,52
Rose,53
Jasmine,54
Chamomile,55
Black tea,56
Pungent,57
Pepper,58
Anise,59
Nutmeg,60
Brown spice,61
Cinnamon,62
Clove,63
Sweet,64
Molasses,65
Maple Syrup,66
Brown sugar,67
Caramelized,68
Chocolate,69
Cocoa,70
Dark Chocolate,71
Honey,72
Vanilla,73
