farmer_id,Operation Name,origin_id
1,"""Cooperativa Agraria Y De Servicios Union De Cafetaleros Ecologicos"" UNICAFEC",1412
2,"4 Seasons Coffee Co., Inc.",1060
3,"44 North Coffee, LLC",130
4,A&E Custom Coffee Roastery,400
5,A. Van Weely B.V.,794
6,A'ama Organic Farm LLC,1142
7,"Aaron Thomas Company, Inc.",1146
8,Abateganda Coffee Factory,1341
9,Abebe Mulugata Kassa Genet Trading,363
10,Abebe Mulugeta Import & Export Hulling Center,351
11,"Abelei, Inc.",360
12,Abera Degela - Member Of Gedeb Small Scale 15 Coffee Farmers,1779
13,Acadian Coffee Roasters LLC,1544
14,Acre Artisan LLC,1628
15,ADA GABRIELA PANTA SALAZAR DE MEDINA / KORIN CHOCOLATE,953
16,ADAPTATIONS INC - FARM,998
17,Adbibo Coffee Company LLC,338
18,Addisu Exporter Ltd.,730
19,Adisque,813
20,Adisque Oriente,902
21,Adventure Coffee Roasting,1298
22,AFRICAN ORGANICS / AMFRI FARM LTD.,1759
23,AGA Armazéns Gerais Araxá Ltda.,1743
24,AGPROCEM SPECIALTY COFFEE PLANADAS S.A.S.,4
25,"Agrana Fruit US, Inc",31
26,"Agrana Fruit US, Inc",910
27,"Agrana Fruit US, Inc.",1139
28,"Agrana Fruit US, Inc.",287
29,AGRI EXIM FZE,463
30,Agri Exim Inc,150
31,AGRICABV/AGRITRADE S.A,959
32,Agricola Industrial San Pablo S.A. de C.V.,1730
33,Agrícola Nueva Cabildo S.A.,1071
34,Agrícola Río Grande S.A,1343
35,Agrícola Y Servicios Múltiples La Finca S.A.C.,1775
36,AGRO EXPORTADORA S.A.,1316
37,AGRO INDUSTRIAL ALLIN MIKUY S.A.C.,718
38,AGRO XICOTEPEC 2000 S.P.R. De R.L. De C.V.,339
39,AGROALIMENTOS CARAVELA DE MEXICO S.A. DE C.V.,1706
40,AGROBAMBA CIA. LTDA.,1332
41,Agroexportadora El Bosque S.A (AGROEXBO S.A),977
42,Agroexportadora El Bosque S.A (AGROEXBO S.A),668
43,AGROINDUSTRIAL LAS MELLIZAS S.A.,1733
44,AGROINDUSTRIAL Y COMERCIAL ARRIOLA E HIJOS S.A.,1472
45,AGROINDUSTRIAS UNIDAS DE MEXICO S.A. DE C.V.,1344
46,Agroindustrias Unidas De México S.A. De C.V. (AMSA),1713
47,AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV - BENEFICIO SECO DOS RIOS,407
48,AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV - REGION ALTOS-FRAYLESCA,1622
49,AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV - SUCURSAL CORDOBA,233
50,AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV SUCURSAL TAPACHULA,1586
51,Agromix Industrial SAC,1145
52,AGROPECUARIA BARLOVENTO SAS,609
53,Agropecuaria Berlin S.A.S.,643
54,"Agropecuaria de loa Altos de Chiapas, S.P.R. DE R.I.",407
55,Agropecuaria Lum,1468
56,Agropecuaria Orgánica Tatamá S.A.S.,578
57,Agropecuaria Popoyán S.A. Pegón Piloncito,1177
58,"Agropecuaria San Eduardo, S.A.",590
59,Agropecuaria Vallenata Ltda.,122
60,"Agropercuaria Internacional, S.A. - INTERAGRO, S.A.",1489
61,"Agropur MSI, LLC",746
62,"Agropur, Inc.",1072
63,AGROSEC,1229
64,Ahmend Muhammed,91
65,"Aii, Inc.",869
66,Airport Coffee Mill Ltd,980
67,AKC Commodities Inc.,186
68,"Alakef Coffee Roasters, Inc.",1021
69,"Alamode Foods, Inc",49
70,Alaska Coffee Roasting Co.,1170
71,Alemayehu Alako - Member Of Gedeb Small Scale 15 Coffee Farmers,1101
72,Alemayehu Daniel Miju,367
73,Aleta Land Coffee P.L.C.,135
74,Aletaland Dry Mill,1430
75,Ali Hussein Hulling Station,576
76,Alianza Sur,1570
77,ALKALI Q S.A.C.,1237
78,"All Ingredients Plus, Inc.",156
79,"Allann Brothers Coffee Company, Inc.",680
80,Allegro Coffee Company,1074
81,Allegro Coffee Roasters,1670
82,"Allen Flavors,  Inc.",1788
83,Ally Coffee,756
84,Almanac Coffee,194
85,ALOE QUEEN INC.,1106
86,"Alpen Sierra, Inc. Dba Alpen Sierra Coffee Company",1418
87,ALPHA NATURALS E.I.R.L.,1264
88,Alta Organic Coffee Warehouse & Roasting Co. DBA Alta Organic Coffee & Tea Co.,53
89,Alvarado St. Bakery Production Facility,727
90,Amaro Gayo Coffee,493
91,AMARURU S.A.C,1502
92,Amavida Coffee And Trading Co.,1103
93,AMAZON SPECIALTIES S.A.C.,538
94,America's Best Beverage,1066
95,Ameriqual Foods,1124
96,"AMI Newco, LLC DBA Aloha Medicinals",1678
97,Ana Maria Gomes Mata EPP (Nat'organico Produtos Naturais),215
98,ANDEAN GRAINS PERÚ S.A.C.,1545
99,Andean Nutrition E.I.R.L.,83
100,Andina Foods Export E.I.R.L.,1446
101,"ANEPAAN O´ DEPÜT, Sociedad de Producción Rural de Responsabilidad Limitada de Capital Variable",195
102,"Anhui Shengchen Food Co., Ltd.",1264
103,Ankole Coffee Producers Cooperative Union Ltd,1281
104,Anodyne Coffee,909
105,ANS PERUANA EIRL,1200
106,AO Madagascar Sarlu,689
107,Apagros Valle Verde,392
108,Apffels Coffee,236
109,APICAFI S.A.,1202
110,APROCACERCHIL Sociedad Anonima,467
111,Aprocafe-ATITLAN,1432
112,Apro-Ori,8
113,"ARBUCKLE COFFEE SERVICE, INC.",1495
114,ARI SUPERFOODS S.A.C.,175
115,Ariovaldo Rodrigues Do Santos (Sitio Ibipora),237
116,Arista Coffee Inc.Dba For Five Coffee Roasters,614
117,Armazens Gerais Boa Vista Ltda,457
118,Armazéns Gerais Cooperfran LTDA (Cooperfran),1127
119,Aroma Coffee LLC.,304
120,A'roma Roasters,1327
121,ARRIBA CHOCOLATE COMPANY,588
122,"Arrow Brothers Agriculture Co., Ltd.",392
123,Artizan Coffee Co.,1442
124,Artizan Coffee Co.,736
125,Aryan International,47
126,"Aseptic Technology, LLC",85
127,Asoc. Agro Artesanal De Producción De Bienes,905
128,"Asoc. De Prod. De Café Organico De Pueblo Nuevo ""El Eden""",19
129,Asociación Agraria Valle Del Inca - Cusco – Valleinca,1362
130,Asociacion Agricola Y Productores Organicos Shejuyu Atitlan-AAPOSA,1034
131,Asociación Agroartesanal De Productores,1297
132,Asociación Agroartesanal De Productores,503
133,ASOCIACION AGROECOLOGICA INDUSTRIAL MONTAÑA PERU,252
134,ASOCIACIÓN AGROEXPORTADORA,654
135,Asociacion Agroexportadora De La Region San Martin,1766
136,"Asociación Agropecuaria Ambiental del Sur de Tolima, UNICHAPARRAL",1698
137,Asociación Agropecuaria Calama Mojsa – AGROCAM,1186
138,ASOCIACION AGROPECUARIA CUENCA GRAN PLAYA PERENE,1187
139,Asociación Agropecuaria de Aipecito,738
140,Asociación Agropecuaria De Calama. Mojsa – AGROCAM,674
141,Asociación Agropecuaria De Producción Ecológico La “Montaña Verde”,1039
142,ASOCIACION AGROPECUARIA DE PRODUCTORES DEL NORTE,106
143,Asociación Agropecuaria-Artesanal De Productores,155
144,Asociación Aldea Global Jinotega,43
145,Asociación Artesanal De Productores De Café,219
146,ASOCIACION BARILLENSE DE AGRICULTORES -ASOBAGRI,180
147,ASOCIACION CHAJULENSE VAL VA’Q QUYOL,82
148,Asociacion Civil De Pequenos Caficultores Manos Campesinas,1056
149,Asociación Cooperativa De Producción Agropecuaria Las Colinas De R.L. (ACPA Las Colinas De R.L.),1568
150,Asociacion Cooperativa De Produccion Agropecuaria Las Lajas De R.L. - ACOPRA Las Lajas,980
151,Asociación Coordinadora De Mujeres Campesinas De La Paz (COMUCAP),1240
152,Asociación Coordinadora De Mujeres Campesinas De La Paz (COMUCAP),1474
153,Asociación Coordinadora De Mujeres Campesinas De La Paz (COMUCAP),99
154,Asociación De Agricultores Agropecuarios Selva Central,173
155,Asociación De Agricultores Cafetaleros “San Ignacio”,96
156,ASOCIACION DE AGRICULTORES DE LA SIERRA NEVADA DE,719
157,ASOCIACIÓN DE AGRICULTORES DE PERICO,49
158,Asociación De Agricultores Grano De Oro,331
159,Asociacion De Agricultores La Lima - La Coipa,1300
160,Asociación De Agricultores Nuevo Amanecer Vergel,1712
161,ASOCIACION DE AGRICULTORES PRODUCTORES DE CAFE ESPECIALES Y SOSTENIBLES SELVA - CASELSO,843
162,Asociacion De Agricultores Y Productores Café Especial De Montalvo De Planadas – AGPROCEM,1476
163,Asociación de Cabildos Indígenas Juan Tama,779
164,"Asociación de Cacaoteros Ecológicos de Tocache, BAMBAMARCA",881
165,Asociación De Cafe Yanesha Ashaninka Andino Alto Puruz,145
166,Asociación de Cafés diferenciados Brisas Nevado de la Vereda el Mirador CADIBRINE,849
167,ASOCIACIÓN DE CAFETALEROS NASAWE's SX FI'zni DE GAITANIA TOLIMA,1014
168,Asociación De Cafetaleros Tabaconas Santuario,707
169,Asociación De Cafetaleros Tabaconas Santuario,1664
170,Asociación De Caficultores ¿EL PANGUI¿,1599
171,"Asociación De Caficultores De Taipiplaya ""ASOCAFE""",298
172,Asociación De Caficultores Indígenas De San Pedro Resguardo Paez De Gaitania Tolima,258
173,Asociación De Caficultores Orgánicos De,517
174,Asociación De Caficultores Taipiplaya “ASOCAFE”,427
175,ASOCIACION DE CAFICULTORES Y CACAOTEROS DE LA SELVA CENTRAL,1393
176,Asociacion De Caficultores Y Cacaoteros De La Selva Central - ASOCASEL,1092
177,Asociacion De Cooperacion Al Desarrollo Integral De Huehuetenango ACODIHUE,1074
178,Asociación De Mujeres Amazilia Del Caribe,1517
179,Asociación de Mujeres Cafeteras Emprendedoras de la Vereda La Estrella AGPROCEM ASMUCAES,1681
180,Asociación De Pequeños Caficultores De La Marina ASOPECAM,1167
181,ASOCIACIÓN DE PEQUEÑOS CAFICULTORES DE OCAMONTE,585
182,Asociación De Pequeños Productores De Café Especial (APROCAE),1460
183,Asociación De Pequeños Productores De Café Especial (APROCAE),1319
184,Asociación De Pequeños Productores De Café Especial (APROCAE),933
185,Asociación De Productoras Libres De Márcala APROLMA,1378
186,Asociación De Productoras Libres De Márcala APROLMA,1039
187,Asociación De Productores Agrarios Del Anexo,1621
188,Asociación de Productores Agrícolas y Pecuarios Ecológicos Brisas del Quebradon ASOBRIS,286
189,Asociación De Productores Agroecológicos Cafés Del Valle,208
190,Asociación De Productores Agroecológicos De La,323
191,Asociación De Productores Agroecológicos De Yanaloma – “APAY”,312
192,Asociación De Productores Agroecológicos Indígenas,16
193,Asociación De Productores Agro-Ecológicos Machu Picchu,1011
194,Asociación De Productores Agropecuarios Bosque Y Agua,1776
195,Asociacion De Productores Agropecuarios BOSQUES DE NEBLINA DEL NORORIENTE,72
196,Asociación De Productores Agropecuarios Bosques Verdes,676
197,Asociación De Productores Agropecuarios Café Solidario.,306
198,Asociación De Productores Agropecuarios De Café Aroma Del Valle Jaén,109
199,Asociación de Productores Agropecuarios de Santa Rosa,951
