origin_id,state,Country
0,Cajamarca,Peru
1,Maine,United States of America (the)
2,New Hampshire,United States of America (the)
3,Hawaii,United States of America (the)
4,California,United States of America (the)
5,Louisiana,United States of America (the)
6,Virginia,United States of America (the)
7,Chiquimula,Guatemala
8,Chiquimula,Guatemala
9,Arizona,United States of America (the)
10,Tolima,Colombia
11,Ohio,United States of America (the)
12,Texas,United States of America (the)
13,New York,United States of America (the)
14,Tennessee,United States of America (the)
15,New York,United States of America (the)
16,La Paz,Bolivia (Plurinational State of)
17,Alajuela,Costa Rica
18,Junín,Peru
19,Esteli,Nicaragua
20,Puebla,Mexico
21,Puebla,Mexico
22,Nueva Segovia,Nicaragua
23,PUNTARENAS,Costa Rica
24,CIUDAD DE MEXICO,Mexico
25,Ciudad de Mexico,Mexico
26,CHIAPAS,Mexico
27,ATLANTICO,Colombia
28,Chiapas,Mexico
29,Alajuela,Costa Rica
30,Guatemala,Guatemala
31,Guatemala,Guatemala
32,Telpaneca,Nicaragua
33,MAGDALENA,Colombia
34,New Jersey,United States of America (the)
35,New Jersey,United States of America (the)
36,Minnesota,United States of America (the)
37,Illinois,United States of America (the)
38,Alaska,United States of America (the)
39,San Jose,Costa Rica
40,New York,United States of America (the)
41,Colorado,United States of America (the)
42,California,United States of America (the)
43,New Jersey,United States of America (the)
44,Florida,United States of America (the)
45,Minnesota,United States of America (the)
46,Texas,United States of America (the)
47,Nevada,United States of America (the)
48,California,United States of America (the)
49,California,United States of America (the)
50,Utcubamba,Peru
51,Florida,United States of America (the)
52,California,United States of America (the)
53,Nevada,United States of America (the)
54,Ceara,Brazil
55,Chiapas,Mexico
56,Wisconsin,United States of America (the)
57,Jaen,Peru
58,California,United States of America (the)
59,Copan,Honduras
60,Sololá,Guatemala
61,San Jose,Costa Rica
62,Minas Gerais,Brazil
63,New York,United States of America (the)
64,Sao Paulo,Brazil
65,São Paulo,Brazil
66,New Mexico,United States of America (the)
67,California,United States of America (the)
68,Guayas,Ecuador
69,Mandalay Division,Myanmar
70,Florida,United States of America (the)
71,Esteli,Nicaragua
72,Solola,Guatemala
73,Loja,Ecuador
74,SAN MARTIN,Peru
75,Tolima,Colombia
76,La Paz,Bolivia (Plurinational State of)
77,JUNIN,Peru
78,Neiva Huila,Colombia
79,La Paz,Bolivia (Plurinational State of)
80,La Paz,Bolivia (Plurinational State of)
81,Cajamarca,Peru
82,Jinotega,Nicaragua
83,Huehuetenango,Guatemala
84,Quiche,Guatemala
85,Quetzaltenango,Guatemala
86,Ahuachapán,El Salvador
87,Sonsonate,El Salvador
88,La Paz,Honduras
89,La Paz,Honduras
90,La Paz,Honduras
91,Junin,Peru
92,Junin,Peru
93,San Ignacio,Peru
94,Jaen,Peru
95,Tolima,Colombia
96,Cauca,Colombia
97,San Martín,Peru
98,Pasco,Peru
99,Tolima,Colombia
100,Tolima,Colombia
101,Cajamarca,Peru
102,Cajamarca,Peru
103,La Paz,Bolivia (Plurinational State of)
104,Tolima,Colombia
105,La Paz,Bolivia (Plurinational State of)
106,Junín,Peru
107,Huehuetenango,Guatemala
108,Tolima,Colombia
109,VALLE DEL CAUCA,Colombia
110,La Paz,Honduras
111,La Paz,Honduras
112,La Paz,Honduras
113,La Paz,Honduras
114,La Paz,Honduras
115,Tolima,Colombia
116,Junín,Peru
117,La Paz,Bolivia (Plurinational State of)
118,Junín,Peru
119,Cajamarca,Peru
120,JAEN,Peru
121,Cajamarca,Peru
122,Cajamarca,Peru
123,Cajamarca,Peru
124,Tolima,Colombia
125,San Ignacio - Cajamarca,Peru
126,Amazonas,Peru
127,Amazonas,Peru
128,Junin,Peru
129,JUNIN,Peru
130,Intibucá,Honduras
131,Jaen,Peru
132,La Paz,Honduras
133,Amazonas,Peru
134,CUTERVO,Peru
135,Jaen,Peru
136,CAJAMARCA,Peru
137,Cajamarca,Peru
138,Cajamarca,Peru
139,Copan,Honduras
140,Cajamarca,Peru
141,Junin,Peru
142,Junin,Peru
143,San Martin,Peru
144,AMAZONAS,Peru
145,Copan,Honduras
146,San Ignacio Cajamarca,Peru
147,Tolima,Colombia
148,Amazonas,Peru
149,Junín,Peru
150,Copan,Honduras
151,Copan,Honduras
152,Loja,Ecuador
153,Solola,Guatemala
154,Copan,Honduras
155,Huehuetenango,Guatemala
156,La Paz,Bolivia (Plurinational State of)
157,La Paz,Bolivia (Plurinational State of)
158,La Paz,Bolivia (Plurinational State of)
159,Tolima,Colombia
160,Huehuetenango,Guatemala
161,Tolima,Colombia
162,Cajamarca,Peru
163,Lempira,Honduras
164,CUNDINAMARCA,Colombia
165,Chanchamayo,Peru
166,Tolima,Colombia
167,Tolima,Colombia
168,Oruro,Bolivia (Plurinational State of)
169,Olancho,Honduras
170,San Martin,Peru
171,Junín,Peru
172,Junin,Peru
173,Junín,Peru
174,Junín,Peru
175,La Paz,Honduras
176,Cartago,Costa Rica
177,Huanuco,Peru
178,Junín,Peru
179,Amazonas,Peru
180,Ibague,Colombia
181,La Paz,Bolivia (Plurinational State of)
182,La Paz,Bolivia (Plurinational State of)
183,La Paz,Bolivia (Plurinational State of)
184,CAJAMARCA,Peru
185,Cajamarca,Peru
186,Ciudad de Guatemala,Guatemala
187,MAGDALENA,Colombia
188,Texas,United States of America (the)
189,Parana,Brazil
190,New York,United States of America (the)
191,California,United States of America (the)
192,Colombia,Mexico
