Operation Name,origin_id
"""Cooperativa Agraria Y De Servicios Union De Cafetaleros Ecologicos"" UNICAFEC",1682.0
"4 Seasons Coffee Co., Inc.",1239.0
"44 North Coffee, LLC",987.0
A&E Custom Coffee Roastery,1228.0
A. Van Weely B.V.,1166.0
A'ama Organic Farm LLC,1637.0
"Aaron Thomas Company, Inc.",966.0
Abateganda Coffee Factory,587.0
Abebe Mulugata Kassa Genet Trading,340.0
Abebe Mulugeta Import & Export Hulling Center,1522.0
"Abelei, Inc.",1485.0
Abera Degela - Member Of Gedeb Small Scale 15 Coffee Farmers,1352.0
Acadian Coffee Roasters LLC,297.0
Acre Artisan LLC,1534.0
ADA GABRIELA PANTA SALAZAR DE MEDINA / KORIN CHOCOLATE,931.0
ADAPTATIONS INC - FARM,164.0
Adbibo Coffee Company LLC,1027.0
Addisu Exporter Ltd.,903.0
Adisque,63.0
Adisque Oriente,473.0
Adventure Coffee Roasting,1419.0
AFRICAN ORGANICS / AMFRI FARM LTD.,741.0
AGA Armazéns Gerais Araxá Ltda.,573.0
AGPROCEM SPECIALTY COFFEE PLANADAS S.A.S.,1576.0
"Agrana Fruit US, Inc",758.0
"Agrana Fruit US, Inc",434.0
"Agrana Fruit US, Inc.",856.0
"Agrana Fruit US, Inc.",1583.0
AGRI EXIM FZE,944.0
Agri Exim Inc,1158.0
AGRICABV/AGRITRADE S.A,1293.0
Agricola Industrial San Pablo S.A. de C.V.,274.0
Agrícola Nueva Cabildo S.A.,1294.0
Agrícola Río Grande S.A,620.0
Agrícola Y Servicios Múltiples La Finca S.A.C.,304.0
AGRO EXPORTADORA S.A.,185.0
AGRO INDUSTRIAL ALLIN MIKUY S.A.C.,1179.0
AGRO XICOTEPEC 2000 S.P.R. De R.L. De C.V.,0.0
AGROALIMENTOS CARAVELA DE MEXICO S.A. DE C.V.,1538.0
AGROBAMBA CIA. LTDA.,769.0
Agroexportadora El Bosque S.A (AGROEXBO S.A),966.0
Agroexportadora El Bosque S.A (AGROEXBO S.A),177.0
AGROINDUSTRIAL LAS MELLIZAS S.A.,1200.0
