state,Country,origin_id
Cajamarca,Peru,0
Maine,United States of America (the),1
New Hampshire,United States of America (the),2
Hawaii,United States of America (the),3
California,United States of America (the),4
Louisiana,United States of America (the),5
Virginia,United States of America (the),6
Chiquimula,Guatemala,7
Chiquimula,Guatemala,8
Arizona,United States of America (the),9
Tolima,Colombia,10
Ohio,United States of America (the),11
Texas,United States of America (the),12
New York,United States of America (the),13
Tennessee,United States of America (the),14
New York,United States of America (the),15
La Paz,Bolivia (Plurinational State of),16
Alajuela,Costa Rica,17
Junín,Peru,18
Esteli,Nicaragua,19
Puebla,Mexico,20
Puebla,Mexico,21
Nueva Segovia,Nicaragua,22
PUNTARENAS,Costa Rica,23
CIUDAD DE MEXICO,Mexico,24
Ciudad de Mexico,Mexico,25
CHIAPAS,Mexico,26
ATLANTICO,Colombia,27
Chiapas,Mexico,28
Alajuela,Costa Rica,29
Guatemala,Guatemala,30
Guatemala,Guatemala,31
Telpaneca,Nicaragua,32
MAGDALENA,Colombia,33
New Jersey,United States of America (the),34
New Jersey,United States of America (the),35
Minnesota,United States of America (the),36
Illinois,United States of America (the),37
Alaska,United States of America (the),38
San Jose,Costa Rica,39
New York,United States of America (the),40
Colorado,United States of America (the),41
California,United States of America (the),42
New Jersey,United States of America (the),43
Florida,United States of America (the),44
Minnesota,United States of America (the),45
Texas,United States of America (the),46
Nevada,United States of America (the),47
California,United States of America (the),48
California,United States of America (the),49
Utcubamba,Peru,50
Florida,United States of America (the),51
California,United States of America (the),52
Nevada,United States of America (the),53
Ceara,Brazil,54
Chiapas,Mexico,55
Wisconsin,United States of America (the),56
Jaen,Peru,57
California,United States of America (the),58
Copan,Honduras,59
Sololá,Guatemala,60
San Jose,Costa Rica,61
Minas Gerais,Brazil,62
New York,United States of America (the),63
Sao Paulo,Brazil,64
São Paulo,Brazil,65
New Mexico,United States of America (the),66
California,United States of America (the),67
Guayas,Ecuador,68
Mandalay Division,Myanmar,69
Florida,United States of America (the),70
Esteli,Nicaragua,71
Solola,Guatemala,72
Loja,Ecuador,73
SAN MARTIN,Peru,74
Tolima,Colombia,75
La Paz,Bolivia (Plurinational State of),76
JUNIN,Peru,77
Neiva Huila,Colombia,78
La Paz,Bolivia (Plurinational State of),79
La Paz,Bolivia (Plurinational State of),80
Cajamarca,Peru,81
Jinotega,Nicaragua,82
Huehuetenango,Guatemala,83
Quiche,Guatemala,84
Quetzaltenango,Guatemala,85
Ahuachapán,El Salvador,86
Sonsonate,El Salvador,87
La Paz,Honduras,88
La Paz,Honduras,89
La Paz,Honduras,90
Junin,Peru,91
Junin,Peru,92
San Ignacio,Peru,93
Jaen,Peru,94
Tolima,Colombia,95
Cauca,Colombia,96
San Martín,Peru,97
Pasco,Peru,98
Tolima,Colombia,99
Tolima,Colombia,100
Cajamarca,Peru,101
Cajamarca,Peru,102
La Paz,Bolivia (Plurinational State of),103
Tolima,Colombia,104
La Paz,Bolivia (Plurinational State of),105
Junín,Peru,106
Huehuetenango,Guatemala,107
Tolima,Colombia,108
VALLE DEL CAUCA,Colombia,109
La Paz,Honduras,110
La Paz,Honduras,111
La Paz,Honduras,112
La Paz,Honduras,113
La Paz,Honduras,114
Tolima,Colombia,115
Junín,Peru,116
La Paz,Bolivia (Plurinational State of),117
Junín,Peru,118
Cajamarca,Peru,119
JAEN,Peru,120
Cajamarca,Peru,121
Cajamarca,Peru,122
Cajamarca,Peru,123
Tolima,Colombia,124
San Ignacio - Cajamarca,Peru,125
Amazonas,Peru,126
Amazonas,Peru,127
Junin,Peru,128
JUNIN,Peru,129
Intibucá,Honduras,130
Jaen,Peru,131
La Paz,Honduras,132
Amazonas,Peru,133
CUTERVO,Peru,134
Jaen,Peru,135
CAJAMARCA,Peru,136
Cajamarca,Peru,137
Cajamarca,Peru,138
Copan,Honduras,139
Cajamarca,Peru,140
Junin,Peru,141
Junin,Peru,142
San Martin,Peru,143
AMAZONAS,Peru,144
Copan,Honduras,145
San Ignacio Cajamarca,Peru,146
Tolima,Colombia,147
Amazonas,Peru,148
Junín,Peru,149
Copan,Honduras,150
Copan,Honduras,151
Loja,Ecuador,152
Solola,Guatemala,153
Copan,Honduras,154
Huehuetenango,Guatemala,155
La Paz,Bolivia (Plurinational State of),156
La Paz,Bolivia (Plurinational State of),157
La Paz,Bolivia (Plurinational State of),158
Tolima,Colombia,159
Huehuetenango,Guatemala,160
Tolima,Colombia,161
Cajamarca,Peru,162
Lempira,Honduras,163
CUNDINAMARCA,Colombia,164
Chanchamayo,Peru,165
Tolima,Colombia,166
Tolima,Colombia,167
Oruro,Bolivia (Plurinational State of),168
Olancho,Honduras,169
San Martin,Peru,170
Junín,Peru,171
Junin,Peru,172
Junín,Peru,173
Junín,Peru,174
La Paz,Honduras,175
Cartago,Costa Rica,176
Huanuco,Peru,177
Junín,Peru,178
Amazonas,Peru,179
Ibague,Colombia,180
La Paz,Bolivia (Plurinational State of),181
La Paz,Bolivia (Plurinational State of),182
La Paz,Bolivia (Plurinational State of),183
CAJAMARCA,Peru,184
Cajamarca,Peru,185
Ciudad de Guatemala,Guatemala,186
MAGDALENA,Colombia,187
Texas,United States of America (the),188
Parana,Brazil,189
New York,United States of America (the),190
California,United States of America (the),191
Colombia,Mexico,192
Bahia,Brazil,193
California,United States of America (the),194
Hunan Province,China,195
Connecticut,United States of America (the),196
Quindío,Colombia,197
Minnesota,United States of America (the),198
Pennsylvania,United States of America (the),199
New York,United States of America (the),200
Lima,Peru,201
Santa Ana,El Salvador,202
Maryland,United States of America (the),203
South Carolina,United States of America (the),204
Georgia,United States of America (the),205
New York,United States of America (the),206
Georgia,United States of America (the),207
California,United States of America (the),208
California,United States of America (the),209
Vaud,Switzerland,210
New York,United States of America (the),211
New York,United States of America (the),212
Massachusetts,United States of America (the),213
São Paulo,Brazil,214
Illinois,United States of America (the),215
California,United States of America (the),216
Matagalpa,Nicaragua,217
Matagalpa,Nicaragua,218
Matagalpa,Nicaragua,219
Copan,Honduras,220
Copan,Honduras,221
Chalchuapa,El Salvador,222
Lempira,Honduras,223
Cortes,Honduras,224
Cortes,Honduras,225
Cortes,Honduras,226
Copán,Honduras,227
Copan,Honduras,228
Copan,Honduras,229
Copan,Honduras,230
Madriz,Nicaragua,231
Matagalpa,Nicaragua,232
Copan,Honduras,233
Ocotepeque,Honduras,234
Ocotepeque,Honduras,235
Ocotepeque,Honduras,236
Chinautla,Guatemala,237
Copan,Honduras,238
Copan,Honduras,239
Copan,Honduras,240
Madriz,Nicaragua,241
Ciudad de Guatemala,Guatemala,242
Matagalpa,Nicaragua,243
Matagalpa,Nicaragua,244
Matagalpa,Nicaragua,245
Connecticut,United States of America (the),246
Ohio,United States of America (the),247
Hawaii,United States of America (the),248
La Paz,Honduras,249
Jalisco,Mexico,250
California,United States of America (the),251
Utah,United States of America (the),252
Copan,Honduras,253
New York,United States of America (the),254
Maine,United States of America (the),255
Texas,United States of America (the),256
Maine,United States of America (the),257
Leon,Nicaragua,258
Leon,Nicaragua,259
Matagalpa,Nicaragua,260
New York,United States of America (the),261
California,United States of America (the),262
Yoro,Honduras,263
Chiang Mai,Thailand,264
Montana,United States of America (the),265
New Jersey,United States of America (the),266
Virginia,United States of America (the),267
California,United States of America (the),268
California,United States of America (the),269
California,United States of America (the),270
Cortes,Honduras,271
Cortes,Honduras,272
Cortes,Honduras,273
Tennessee,United States of America (the),274
--,Thailand,275
MICHOACAN,Thailand,276
New Jersey,United States of America (the),277
Minnesota,United States of America (the),278
Bahia,Brazil,279
MG,Brazil,280
Rhode Island,United States of America (the),281
Sao Paulo,Brazil,282
Florida,United States of America (the),283
Lima,Peru,284
Missouri,United States of America (the),285
Hawaii,United States of America (the),286
Massachusetts,United States of America (the),287
Santa Rosa,Guatemala,288
Iowa,United States of America (the),289
Florida,United States of America (the),290
Pennsylvania,United States of America (the),291
Missouri,United States of America (the),292
Missouri,United States of America (the),293
Colorado,United States of America (the),294
Colorado,United States of America (the),295
MAGDALENA,Colombia,296
Cusco,Peru,297
MAGDALENA,Colombia,298
León,Nicaragua,299
California,United States of America (the),300
Amazonas,Peru,301
Wisconsin,United States of America (the),302
CHIAPAS,Mexico,303
Cortes,Honduras,304
Cortes,Honduras,305
Cortes,Honduras,306
MG,Brazil,307
"Dili,",Timor-Leste,308
SAN JOSE,Costa Rica,309
Heredia,Costa Rica,310
MONTERREY,Mexico,311
Risaralda,Colombia,312
Cortes,Honduras,313
Cortes,Honduras,314
Cortes,Honduras,315
Cortes,Honduras,316
La Paz,Honduras,317
La Paz,Honduras,318
Oaxaca,Mexico,319
ANTIOQUIA,Colombia,320
Rio Grande do Sul,Brazil,321
Lambayeque,Peru,322
"Motozintla, Chiapas",Mexico,323
Oaxaca,Mexico,324
CHIAPAS,Mexico,325
Minnesota,United States of America (the),326
CHIAPAS,Mexico,327
Chiriquí,Panama,328
Virginia,United States of America (the),329
Maine,United States of America (the),330
Ocotepeque,Honduras,331
Ocotepeque,Honduras,332
Ocotepeque,Honduras,333
Amazonas,Peru,334
California,United States of America (the),335
Matagalpa,Nicaragua,336
Matagalpa,Nicaragua,337
La Paz,Honduras,338
La Paz,Honduras,339
La Paz,Honduras,340
ALAJUELA,Costa Rica,341
La Paz,Honduras,342
La Paz,Honduras,343
CHIAPAS,Mexico,344
QUINDIO,Colombia,345
Ocotepeque,Honduras,346
California,United States of America (the),347
Minas Gerais,Brazil,348
Guatemala,Guatemala,349
Minas Gerais,Brazil,350
Geneva,Switzerland,351
San Martin,Peru,352
Chiapas,Mexico,353
Copan,Honduras,354
Copan,Honduras,355
Copan,Honduras,356
Copan,Honduras,357
Copan,Honduras,358
Chiapas,Mexico,359
Copan,Honduras,360
Ocotepeque,Honduras,361
CIUDAD DE MEXICO,Mexico,362
Copan,Honduras,363
Copan,Honduras,364
Copan,Honduras,365
San Pedro Sula,Honduras,366
Cortes,Honduras,367
Cortes,Honduras,368
Cortes,Honduras,369
Nayarit,Mexico,370
Chiapas,Mexico,371
Veracruz,Mexico,372
Oaxaca,Mexico,373
Lima,Peru,374
Lima,Peru,375
Lima,Peru,376
Matagalpa,Nicaragua,377
Matagalpa,Nicaragua,378
Copán,Honduras,379
CHIAPAS,Mexico,380
"Risaralda, Pereira",Colombia,381
Chihuahua,Mexico,382
Oaxaca,Mexico,383
Risaralda,Colombia,384
Utah,United States of America (the),385
Kentucky,United States of America (the),386
Oregon,United States of America (the),387
Jaen,Peru,388
VERACRUZ,Mexico,389
Veracruz,Mexico,390
Comayagua.,Honduras,391
Cajamarca,Peru,392
California,United States of America (the),393
