subscription_id,date_subscribed,membership,user_id,level_id
0,2002-05-25 22:17:10,Silver,3190,2
1,1990-12-04 12:49:24,Bronze,3848,2
2,2019-02-06 13:08:11,Silver,4443,1
3,2008-12-18 03:17:02,Silver,4601,3
4,2003-01-10 23:06:55,Silver,2756,1
5,1994-06-25 19:32:29,Gold,934,2
6,1994-09-14 04:31:20,Bronze,4843,3
7,1992-01-14 18:17:35,Gold,1747,2
8,1992-03-03 10:57:24,Silver,4488,1
9,2001-08-02 01:01:02,Gold,1384,1
10,2019-07-04 06:49:52,Silver,1224,1
11,2017-07-31 09:34:43,Gold,2557,3
12,2002-04-13 05:12:21,Bronze,4106,3
13,2003-09-16 20:18:20,Bronze,67,3
14,2004-06-01 02:03:18,Silver,1953,2
15,1994-08-18 08:14:22,Silver,4561,3
16,1994-02-18 21:02:01,Silver,2629,1
17,1994-04-23 18:22:29,Bronze,4225,2
18,2009-07-09 15:14:28,Gold,4598,1
19,2019-07-24 03:25:50,Bronze,4921,2
20,2008-08-08 01:10:19,Gold,435,1
21,1998-11-12 16:00:18,Gold,4778,3
22,2000-01-12 06:51:56,Gold,2478,1
23,1993-07-14 10:43:35,Bronze,3160,2
24,2005-11-08 04:59:49,Gold,199,3
25,1999-06-21 02:13:55,Gold,394,1
26,1994-01-16 12:31:54,Silver,260,3
27,1995-06-09 14:30:21,Silver,4441,3
28,1993-09-20 09:15:37,Silver,1073,2
29,1995-04-16 14:55:30,Silver,2717,1
30,1992-10-23 09:05:37,Silver,1750,2
31,1996-05-26 06:48:51,Gold,3214,1
32,2001-12-24 06:17:25,Gold,4407,1
33,2010-09-10 22:00:50,Bronze,4626,1
34,1990-03-05 19:59:29,Silver,3897,3
35,2018-12-12 04:03:04,Bronze,2078,1
36,1993-12-16 17:05:12,Gold,1587,1
37,1994-05-17 23:04:52,Silver,4491,3
38,1992-11-29 08:44:14,Silver,1654,1
39,2002-03-01 03:43:52,Gold,3008,1
40,1994-01-20 13:01:14,Gold,811,2
41,2001-05-17 12:29:52,Gold,808,3
42,1999-09-06 10:18:25,Bronze,4034,1
43,1993-08-01 05:32:21,Silver,1295,3
44,2017-07-29 08:17:41,Silver,26,2
45,2001-01-30 12:41:54,Gold,3491,1
46,2018-05-09 19:23:59,Bronze,225,1
47,2010-11-04 19:16:36,Bronze,185,3
48,1999-12-30 16:33:52,Bronze,4545,3
49,1994-10-19 21:40:44,Bronze,4547,1
50,2015-09-15 20:23:34,Gold,3851,2
51,2007-07-19 19:01:55,Bronze,1864,2
52,1990-08-09 22:28:51,Bronze,3033,1
53,2006-01-23 11:25:31,Bronze,4357,2
54,2013-07-13 00:27:30,Gold,3132,2
55,1995-09-11 11:08:32,Bronze,308,1
56,2014-06-09 21:36:03,Gold,2900,2
57,1997-09-21 10:35:52,Silver,2461,3
58,2012-01-05 04:49:43,Gold,2330,2
59,2008-12-30 00:02:13,Bronze,2203,1
60,2000-08-08 17:01:27,Gold,1754,1
61,1994-07-26 09:26:43,Bronze,3361,1
62,2018-08-25 13:58:56,Bronze,3322,2
63,2015-09-12 01:25:58,Gold,2387,3
64,2008-06-25 13:49:26,Bronze,2782,3
65,2014-12-30 18:44:10,Bronze,2951,3
66,1999-10-23 01:49:48,Bronze,646,1
